x,y
8.756969332695007,14.790168762207031
37.29621505737305,40.158387184143066
69.39208602905273,56.50865650177002
107.5646743774414,57.451191902160645
143.650785446167,66.93851089477539
179.11643600463867,71.32914638519287
215.9364471435547,61.2137565612793
251.06603240966797,61.463523864746094
282.7642593383789,82.75336837768555
305.29759979248047,111.34457206726074
320.2179298400879,145.77654457092285
355.52606201171875,160.315185546875
390.8341751098633,174.85381698608398
427.7744445800781,180.87890243530273
465.9560546875,180.42970275878906
501.0545883178711,192.2490463256836
532.0616683959961,213.06708908081055
550.3903350830078,246.11367797851562
587.2103271484375,256.2290725708008
624.0303955078125,266.34448623657227
627.5908050537109,301.8144950866699
627.5908050537109,339.99871826171875
627.9186019897461,378.1806335449219
629.1322479248047,415.9777603149414
661.8077239990234,435.73499298095703
699.1056213378906,442.17488861083984
736.9949493408203,446.91102600097656
770.4509887695312,459.8792037963867
795.2575073242188,488.90802001953125
827.7104339599609,507.12171173095703
863.6895141601562,519.0896377563477
901.8669281005859,519.8099670410156
940.0328216552734,518.7252578735352
978.1980285644531,517.5200805664062
1014.9868927001953,526.3371047973633
1048.9985809326172,540.7568511962891
1067.6383361816406,574.082389831543
1093.2731018066406,601.4058456420898
1123.6567077636719,624.5114288330078
1155.3055725097656,645.8744201660156
