x,y
15.65205430984497,238.88040161132812
55.05329704284668,240.80241775512695
94.32740783691406,243.8137969970703
133.11234092712402,251.01670837402344
171.12041091918945,261.31572341918945
208.69414901733398,273.3301887512207
246.15886306762695,285.6811866760254
283.64835357666016,297.95032119750977
321.67604064941406,308.44070053100586
359.7305450439453,318.8260612487793
398.13001251220703,327.8612289428711
436.67516326904297,335.9985122680664
475.96124267578125,339.5699462890625
515.2843246459961,342.4329528808594
554.7287521362305,342.9732666015625
594.1381225585938,344.5406494140625
633.5531005859375,345.7541809082031
673.0011901855469,345.7541809082031
712.4480590820312,346.0019073486328
751.8941650390625,346.40035247802734
791.3053283691406,345.47742462158203
830.6752166748047,342.99462890625
870.0445709228516,340.5045471191406
909.3975219726562,337.76692962646484
948.7505493164062,335.02931213378906
988.0705413818359,331.8790588378906
1027.3587951660156,328.33219146728516
1066.647201538086,324.7853240966797
1105.736099243164,319.8360595703125
1144.4563446044922,312.2931442260742
