x,y
7.895084381103516,669.8231658935547
38.60073184967041,646.0697326660156
61.51604747772217,616.2509307861328
77.27171993255615,581.0547409057617
116.08906364440918,581.5792999267578
154.90771865844727,581.9108734130859
193.7286148071289,581.9108734130859
222.53331756591797,567.6107559204102
243.7357292175293,538.6774978637695
279.514461517334,523.6128005981445
318.27272033691406,523.3027038574219
355.64237213134766,518.4756240844727
388.0275115966797,497.0684585571289
424.62781524658203,489.363037109375
463.4455261230469,488.86537170410156
497.10103607177734,470.2897033691406
532.5816497802734,454.95606994628906
569.1306838989258,441.8706283569336
604.2765197753906,425.50035095214844
621.9381484985352,397.8986511230469
620.9301528930664,359.09085845947266
620.6956634521484,320.2730522155762
620.6956634521484,281.45217514038086
639.3739852905273,250.3680763244629
669.1370544433594,228.0419692993164
707.88232421875,225.62039947509766
740.2182159423828,211.14644622802734
763.8876495361328,180.3760871887207
794.6264038085938,158.52565383911133
831.0381469726562,146.61880111694336
869.7518310546875,143.7358627319336
908.4877166748047,141.63983917236328
947.3024139404297,142.33295059204102
986.1171875,143.0260715484619
1016.2791595458984,122.77095413208008
1021.4313659667969,86.80495834350586
1041.0194549560547,58.29576110839844
1074.136215209961,39.62751007080078
1112.3410186767578,32.73813581466675
1149.6964416503906,22.2473726272583
